title,price,monthday,year,room,m2,location
YEDİŞEHİTLER IYAŞA 10 DK 1+0 DAİRELER,9.000 TL,07 Aralık,2025,Stüdyo (1+0),35,"Anadolu
Yedişehitler Mh."
FK GRUP EMLAK'TAN HIZIRBEY'de BAHÇE KAT BÜYÜK 2+1,9.000 TL,05 Aralık,2025,2+1,125,"Kutlubey
Hızırbey Mh."
1+0 Arakat Kiralık Daire (Isıtma ve İnternet Dahil),8.500 TL,05 Aralık,2025,Stüdyo (1+0),25,"Anadolu
Yedişehitler Mh."
İYAŞ AVM ALTINDA SDÜ ÜNİVERSİTE DURAĞI 2DAK. MESAFEDE...,9.000 TL,06 Aralık,2025,2+1,60,"Anadolu
Modern Evler Mah."
EMRE MAHALLESİNDE SİTE İÇİ GÜVENLİKLİ 3+1 165 M² KİRALIK DAİRE,24.000 TL,05 Aralık,2025,3+1,165,"Çelebiler
Emre Mah."
FK GRUP EMLAK'TAN FATİH MAH İYAŞ AVM'YE YAKIN 2+1,13.500 TL,05 Aralık,2025,2+1,65,"Anadolu
Fatih Mah."
İYAŞA 7-8DK YENİ EŞYALI 1+0 APART,7.500 TL,05 Aralık,2025,Stüdyo (1+0),22,"Anadolu
Fatih Mah."
FATİH MAHALLESİ'NDE SIFIR LÜX KİRALIK 1+1 APART,15.000 TL,06 Aralık,2025,1+1,50,"Anadolu
Fatih Mah."
SAHİBİNDEN KİRALIK 2+1 ARAKAT DAİRE,22.000 TL,05 Aralık,2025,2+1,110,"Anadolu
Çünür Mh."
İSTASYON CADDESİ İSTİKLAL CAMİ ARKASI KİRALIK LÜKS 2+1 APART,15.000 TL,05 Aralık,2025,2+1,55,"Kepeci
İstiklal Mh."
Kiralık apart,6.000 TL,05 Aralık,2025,Stüdyo (1+0),20,"Kutlubey
Hızırbey Mh."
Özenle Yapılmış Kapalı Otoparklı Kiralık 3+1 Ev,20.000 TL,05 Aralık,2025,3+1,125,"Kutlubey
Binbirevler Mah."
SIFIR 3+1 EBEVEYN BANYOLU KİRALIK DAİRE,32.500 TL,05 Aralık,2025,3+1,130,"Kepeci
Davraz Mah."
Sahibinden müstakil Davraz Evi,14.000 TL,05 Aralık,2025,2+1,100,"Kepeci
Davraz Mah."
HIZIRBEY DE KİRALIK DAİRE,14.250 TL,05 Aralık,2025,3+1,135,"Kutlubey
Hızırbey Mh."
Batıkent kiralık daire,13.000 TL,05 Aralık,2025,2+1,100,"Kutlubey
Batıkent Mh."
İYAŞ YAKINI HER ODASI BALKONLU 50M2 (2+1)RAHAT GENİŞAPART DAİRE,13.000 TL,05 Aralık,2025,2+1,60,"Anadolu
Modern Evler Mah."
FATİH MAHALLESİ ADLİYE ÜZERİ ANA CADDE'DE 3+1 KİRALIK DAİRE,19.000 TL,05 Aralık,2025,3+1,135,"Anadolu
Fatih Mah."
ZAFER MAHALLESİ KİRALIK,10.000 TL,06 Aralık,2025,3+1,145,"Anadolu
Zafer Mah."
FAVORİ EMLAKTAN KİRALIK LÜKS 1+1 APART,22.000 TL,05 Aralık,2025,1+1,55,"Kepeci
İstiklal Mh."
Çünürde kiralık sıfır 3+1 daire,30.000 TL,05 Aralık,2025,3+1,145,"Anadolu
Çünür Mh."
BELMAŞLARDA 2+1 KİRALIK DAİRE,11.000 TL,05 Aralık,2025,2+1,120,Kepeci
"ÇARŞI MERKEZ'de KİRALIK EŞYALI/ EŞYASIZ 2+0 DAİRELER, ASANSÖRLÜ",14.500 TL,05 Aralık,2025,2+1,65,"Çelebiler
Gazi Kemal Mah."
HERŞEY DAHİL BİR ARTİ SIFIR APARTLAR,7.500 TL,05 Aralık,2025,Stüdyo (1+0),40,"Anadolu
Fatih Mah."
BELMAŞLAR DA 2+1 ARA KAT DAİRE,12.000 TL,05 Aralık,2025,2+1,100,"Kepeci
Karaağaç Mh."
Güneş Gayrimenkul'den Bahçeli Eşyalı 2+1 Bahçe Kat,15.000 TL,05 Aralık,2025,2+1,140,"Kutlubey
Işıkkent Mh."
Güneş Gayrimenkul'den Fatih Mh 1+1 Eşyalı Site içerisinde,10.000 TL,05 Aralık,2025,1+1,40,"Anadolu
Fatih Mah."
İFA'DAN ISPARTA HIZIRBEY MAHALLESİNDE KİRALIK DAİRE,42.000 TL,05 Aralık,2025,4+1,210,"Kutlubey
Hızırbey Mh."
GEF GAYRİMENKUL'den KARAAĞAÇ MEYDANINDA KİRALIK 3+1,32.500 TL,05 Aralık,2025,3+1,160,"Kepeci
Karaağaç Mh."
ÜNİVERSİTEYE YÜRÜME MESAFESİNDE SIFIR BAHÇE KATI VE ÇATI LÜKS,14.000 TL,05 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
TIP FAKÜLTESİ KARŞISI KİRALIK 1+1 APART,16.000 TL,05 Aralık,2025,1+1,50,"Anadolu
Çünür Mh."
ŞEHİR HASTAHANESİNE YÜRÜME MESAFESİNDE KİRALIK 2+1 DAİRE,17.000 TL,05 Aralık,2025,2+1,80,"Kepeci
İstiklal Mh."
ISPARTA MERKEZ BAHÇELİEVLER MAHALLESİNDE KİRALIK APART,10.000 TL,05 Aralık,2025,2+0,50,"Anadolu
Bahçelievler Mh."
DİNÇER GYD-MODERNEVLER BAHÇE KAT SIFIR EŞYA 2+1 YAKIT NET 11.000,11.000 TL,04 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
